dataset,method,video_id,label,split,source_ids,group_id,path,bytes,frame_idx,frame_id,crop,crop_sha256,landmarks,landmarks_sha256
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id23_0002,1,external,,FR-DaGAN/id19_id23_0002,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id23_0002.mp4,42888,10,celebdfpp/FR-DaGAN/id19_id23_0002/000010,crops/celebdfpp/FR-DaGAN/id19_id23_0002/frame_000010.jpg,77067215950fc09e1abf744bf3c06d06b1b0eeb3358fd71f3e2e44d63a745074,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id23_0002,1,external,,FR-DaGAN/id19_id23_0002,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id23_0002.mp4,42888,40,celebdfpp/FR-DaGAN/id19_id23_0002/000040,crops/celebdfpp/FR-DaGAN/id19_id23_0002/frame_000040.jpg,86c2d1197b5596bcdeadf54997874ae13421bd2c4f521b389d6312b696dfd46f,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id23_0002,1,external,,FR-DaGAN/id19_id23_0002,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id23_0002.mp4,42888,60,celebdfpp/FR-DaGAN/id19_id23_0002/000060,crops/celebdfpp/FR-DaGAN/id19_id23_0002/frame_000060.jpg,3fda59425442fba1e87e78a954da83f5fe4af711b4e8427d4518d865fd68e96c,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id23_0002,1,external,,FR-DaGAN/id19_id23_0002,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id23_0002.mp4,42888,90,celebdfpp/FR-DaGAN/id19_id23_0002/000090,crops/celebdfpp/FR-DaGAN/id19_id23_0002/frame_000090.jpg,fc136c9bf07a12f01f2e34c44b37a855177775e461bdb8d527d18592bc35946a,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id23_0002,1,external,,FR-DaGAN/id19_id23_0002,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id23_0002.mp4,42888,120,celebdfpp/FR-DaGAN/id19_id23_0002/000120,crops/celebdfpp/FR-DaGAN/id19_id23_0002/frame_000120.jpg,341af2c6e2db7d70fdabcdfe0d849fff4614230ec4eebab6816e2ebdeac4a5d7,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id25_0001,1,external,,FR-DaGAN/id19_id25_0001,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id25_0001.mp4,84229,60,celebdfpp/FR-DaGAN/id19_id25_0001/000060,crops/celebdfpp/FR-DaGAN/id19_id25_0001/frame_000060.jpg,0de482b2023f194ee82f4cc2f6135d592d3239a1e66d48719c7f20352839e961,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id25_0001,1,external,,FR-DaGAN/id19_id25_0001,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id25_0001.mp4,84229,120,celebdfpp/FR-DaGAN/id19_id25_0001/000120,crops/celebdfpp/FR-DaGAN/id19_id25_0001/frame_000120.jpg,833ac4b7bcf256716114c4a0ec5e3f789abc3b237ff1b3eda2b13b99ab3a2591,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id25_0001,1,external,,FR-DaGAN/id19_id25_0001,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id25_0001.mp4,84229,210,celebdfpp/FR-DaGAN/id19_id25_0001/000210,crops/celebdfpp/FR-DaGAN/id19_id25_0001/frame_000210.jpg,55a1dcf13e129d7c594200aeda711941bb3f1124765ea21942ffe6ff7cc173e1,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id25_0001,1,external,,FR-DaGAN/id19_id25_0001,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id25_0001.mp4,84229,240,celebdfpp/FR-DaGAN/id19_id25_0001/000240,crops/celebdfpp/FR-DaGAN/id19_id25_0001/frame_000240.jpg,8f04f8498f783cd5001009122dcd4e03ba30392828b154168969c311047af0dd,,
celebdfpp,FR-DaGAN,FR-DaGAN/id19_id25_0001,1,external,,FR-DaGAN/id19_id25_0001,celebdfpp/Celeb-synthesis/FaceReenact/DaGAN/id19_id25_0001.mp4,84229,250,celebdfpp/FR-DaGAN/id19_id25_0001/000250,crops/celebdfpp/FR-DaGAN/id19_id25_0001/frame_000250.jpg,7015b17d6daa72b7a29c25c0f7db7ac4046a4f7ec837833b79ca23f78d9d7241,,
